year,month,day,h,OpenPrice,ClosePrice,HighPrice,LowPrice
2020,6,17,20,4249,4249,4249,4249
2020,6,17,21,4249,4239,4257,4233
2020,6,17,22,4240,4232,4242,4221
2020,6,17,23,4243,4236,4247,4235
2020,6,18,0,4265,4324,4338,4260
2020,6,18,1,4323,4328,4332,4319
2020,6,18,2,4326,4326,4332,4265
2020,6,18,9,4241,4252,4254,4232
2020,6,18,10,4248,4244,4250,4241
2020,6,18,11,4244,4247,4250,4242
2020,6,18,13,4265,4272,4279,4251
2020,6,18,14,4282,4281,4294,4267
2020,6,18,15,4287,4287,4287,4287
